describe,evaluate,introduce,movie_name,serial_number,star
如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,273104人评价,"
导演:阿兰·葛斯彭纳AlainGsponer   主演:阿努克·斯特芬AnukSteffen/...
2015 / 德国瑞士南非 / 剧情冒险家庭
",海蒂和爷爷,76,9.2
往事如烟，无处祭奠。,300796人评价,"
导演:赛尔乔·莱翁内SergioLeone   主演:罗伯特·德尼罗RobertDeNiro...
1984 / 美国意大利 / 犯罪剧情
",美国往事,77,9.2
孪生蝙蝠侠大战克隆金刚狼。,607047人评价,"
导演:克里斯托弗·诺兰ChristopherNolan   主演:休·杰克曼HughJackman...
2006 / 英国美国 / 剧情悬疑惊悚
",致命魔术,78,8.9
故事的高级讲法。,599815人评价,"
导演:昆汀·塔伦蒂诺QuentinTarantino   主演:约翰·特拉沃尔塔JohnTra...
1994 / 美国 / 剧情喜剧犯罪
",低俗小说,79,8.8
警察抓小偷，老鼠玩死猫。,702516人评价,"
导演:大卫·芬奇DavidFincher   主演:摩根·弗里曼MorganFreeman/布...
1995 / 美国 / 剧情犯罪悬疑惊悚
",七宗罪,80,8.8
安东尼·霍普金斯的顶级表演。,600452人评价,"
导演:乔纳森·戴米JonathanDemme   主演:朱迪·福斯特JodieFoster/安...
1991 / 美国 / 剧情犯罪惊悚
",沉默的羔羊,81,8.8
人的命运被自己瞬间的抉择改变。,666553人评价,"
导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber   主...
2004 / 美国加拿大 / 剧情悬疑科幻惊悚
",蝴蝶效应,82,8.8
昔日翩翩少年，今日大腹便便。,668828人评价,"
导演:MartinScorsese   主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...
2010 / 美国 / 剧情悬疑惊悚
",禁闭岛,83,8.8
爱情纠缠，男女一致。,450354人评价,"
导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/梁朝伟TonyLeu...
1997 / 中国香港日本韩国 / 剧情爱情同性
",春光乍泄,84,8.9
人生中应该拥有这样的一段豁然开朗。,498027人评价,"
导演:格斯·范·桑特GusVanSant   主演:马特·达蒙MattDamon/罗宾·...
1997 / 美国 / 剧情
",心灵捕手,85,8.9
小清新的故事里注入了大历史的情怀。,631941人评价,"
导演:韦斯·安德森WesAnderson   主演:拉尔夫·费因斯RalphFiennes/...
2014 / 美国德国英国 / 剧情喜剧冒险
",布达佩斯大饭店,86,8.8
以戏谑来戏谑戏谑。,537161人评价,"
导演:中岛哲也TetsuyaNakashima   主演:中谷美纪MikiNakatani/瑛太E...
2006 / 日本 / 剧情歌舞
",被嫌弃的松子的一生,87,8.9
绝对意义上的美轮美奂。,953031人评价,"
导演:詹姆斯·卡梅隆JamesCameron   主演:萨姆·沃辛顿SamWorthington...
2009 / 美国英国 / 动作科幻冒险
",阿凡达,88,8.7
大时代中的人生，小人物的悲喜。,198794人评价,"
导演:查理·卓别林CharlesChaplin   主演:查理·卓别林CharlesChaplin...
1936 / 美国 / 剧情喜剧爱情
",摩登时代,89,9.3
浪漫忧郁的成人童话。,806120人评价,"
导演:蒂姆·波顿TimBurton   主演:约翰尼·德普JohnnyDepp/薇诺娜·...
1990 / 美国 / 剧情奇幻爱情
",剪刀手爱德华,90,8.7
史诗大片的典范。,445066人评价,"
导演:梅尔·吉布森MelGibson   主演:梅尔·吉布森MelGibson/苏菲·玛...
1995 / 美国 / 动作传记剧情历史战争
",勇敢的心,91,8.9
法式小清新。 ,770324人评价,"
导演:让-皮埃尔·热内Jean-PierreJeunet   主演:奥黛丽·塔图AudreyTau...
2001 / 法国德国 / 喜剧爱情
",天使爱美丽,92,8.7
我是一个演员。,669203人评价,"
导演:周星驰StephenChow/李力持Lik-ChiLee   主演:周星驰StephenCh...
1999 / 中国香港 / 喜剧剧情爱情
",喜剧之王,93,8.7
最不可能的那个人永远是最可能的。,562700人评价,"
导演:詹姆斯·曼高德JamesMangold   主演:约翰·库萨克JohnCusack/雷...
2003 / 美国 / 剧情悬疑惊悚
",致命ID,94,8.8
约翰尼·德普的独角戏。,632916人评价,"
导演:戈尔·维宾斯基GoreVerbinski   主演:约翰尼·德普JohnnyDepp/...
2003 / 美国 / 动作冒险奇幻
",加勒比海盗,95,8.7
每个人心中都有一座断背山。,535766人评价,"
导演:李安AngLee   主演:希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake...
2005 / 美国加拿大 / 剧情爱情同性家庭
",断背山,96,8.8
关于连环杀人悬案的集体回忆。,464615人评价,"
导演:奉俊昊Joon-hoBong   主演:宋康昊Kang-hoSong/金相庆Sang-kyun...
2003 / 韩国 / 剧情动作犯罪悬疑惊悚
",杀人回忆,97,8.8
人言可畏。,252863人评价,"
导演:托马斯·温特伯格ThomasVinterberg   主演:麦斯·米科尔森MadsMik...
2012 / 丹麦瑞典 / 剧情
",狩猎,98,9.1
10年的完美句点。,532861人评价,"
导演:大卫·叶茨DavidYates   主演:丹尼尔·雷德克里夫DanielRadcliffe...
2011 / 美国英国 / 奇幻冒险
",哈利·波特与死亡圣器(下),99,8.8
沉醉在电影的情感和视听氛围中无法自拔。,450954人评价,"
导演:卢卡·瓜达尼诺LucaGuadagnino   主演:艾米·汉莫ArmieHammer/...
2017 / 意大利法国巴西美国荷兰德国 / 剧情爱情同性
",请以你的名字呼唤我,100,8.9
人与自然的战争史诗。,393479人评价,"
导演:宫崎骏HayaoMiyazaki   主演:松田洋治YôjiMatsuda/石田百合...
1997 / 日本 / 动画奇幻冒险
",幽灵公主,101,8.9
一场华丽的意淫。,452133人评价,"
导演:姜文WenJiang   主演:夏雨YuXia/宁静JingNing/陶虹HongTao
1994 / 中国大陆中国香港 / 剧情爱情
",阳光灿烂的日子,102,8.8
那些静得只能听见呼吸的日子里，你明白孤独即生活。,298698人评价,"
导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir...
2014 / 日本 / 剧情
",小森林 夏秋篇,103,9.0
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,449262人评价,"
导演:泷田洋二郎YôjirôTakita   主演:本木雅弘MasahiroMotoki/...
2008 / 日本 / 剧情
",入殓师,104,8.8
寂寞没有期限。,571090人评价,"
导演:王家卫KarWaiWong   主演:林青霞BrigitteLin/金城武TakeshiK...
1994 / 中国香港 / 剧情爱情
",重庆森林,105,8.7
深入内心的恐怖，出人意料的结局。,389734人评价,"
导演:M·奈特·沙马兰M.NightShyamalan   主演:布鲁斯·威利斯BruceWi...
1999 / 美国 / 剧情悬疑惊悚
",第六感,106,8.9
《我是山姆》的《美丽人生》。,369448人评价,"
导演:李焕庆Hwan-kyeongLee   主演:柳承龙Seung-yongRyoo/朴信惠Shi...
2013 / 韩国 / 剧情喜剧家庭
",7号房的礼物,107,8.9
年度最佳date movie。,641258人评价,"
导演:大卫·芬奇DavidFincher   主演:本·阿弗莱克BenAffleck/罗莎蒙...
2014 / 美国 / 剧情犯罪悬疑惊悚
",消失的爱人,108,8.7
梦的勾结。,276490人评价,"
导演:今敏SatoshiKon   主演:林原惠美MegumiHayashibara/江守彻Toru...
2006 / 日本 / 动画悬疑科幻惊悚
",红辣椒,109,9.0
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,263463人评价,"
导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir...
2015 / 日本 / 剧情
",小森林 冬春篇,110,9.0
缘分是个连绵词，最美不过一瞬。,423508人评价,"
导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...
1995 / 美国奥地利瑞士 / 剧情爱情
",爱在黎明破晓前,111,8.8
我们都曾经是一一。,252675人评价,"
导演:杨德昌EdwardYang   主演:吴念真/李凯莉KellyLee/金燕玲Elai...
2000 / 中国台湾日本 / 剧情爱情家庭
",一一,112,9.0
少女情怀总是诗。,326338人评价,"
导演:近藤喜文YoshifumiKondo   主演:本名阳子YoukoHonna/小林桂树K...
1995 / 日本 / 剧情爱情动画
",侧耳倾听,113,8.9
华太师是黄霑，吴镇宇四大才子之一。,724974人评价,"
导演:李力持Lik-ChiLee   主演:周星驰StephenChow/巩俐LiGong/陈...
1993 / 中国香港 / 喜剧爱情古装
",唐伯虎点秋香,114,8.6
你是我最好的朋友，你是我唯一的朋友 。,331780人评价,"
导演:亚当·艾略特AdamElliot   主演:托妮·科莱特ToniCollette/菲利...
2009 / 澳大利亚 / 剧情喜剧动画
",玛丽和马克思,115,8.9
穷尽一生，我们要学会的，不过是彼此拥抱。,331747人评价,"
导演:托尼·凯耶TonyKaye   主演:艾德里安·布洛迪AdrienBrody/马西...
2011 / 美国 / 剧情
",超脱,116,8.9
